Event Name,Status
branch-instructions,Successful
branch-misses,Successful
bus-cycles,Successful
cache-misses,Successful
cache-references,Successful
cpu-cycles,Successful
instructions,Successful
ref-cycles,Successful
L1-dcache-loads,Successful
L1-dcache-load-misses,Successful
L1-dcache-stores,Successful
L1-icache-load-misses,Successful
LLC-loads,Successful
LLC-load-misses,Successful
LLC-stores,Successful
LLC-store-misses,Successful
dTLB-loads,Successful
dTLB-load-misses,Successful
dTLB-stores,Successful
dTLB-store-misses,Successful
iTLB-load-misses,Successful
branch-loads,Successful
branch-load-misses,Successful
node-loads,Successful
mem-loads-aux,Successful
mem-stores,Successful
slots,Successful
msr/aperf/,Successful
msr/mperf/,Successful
msr/tsc/,Successful
uncore_iio_free_running_0/ioclk/,Successful
uncore_iio_free_running_1/ioclk/,Successful
uncore_iio_free_running_2/ioclk/,Successful
uncore_iio_free_running_3/ioclk/,Successful
uncore_iio_free_running_4/ioclk/,Successful
uncore_iio_free_running_5/ioclk/,Successful
uncore_iio_free_running_6/ioclk/,Successful
uncore_iio_free_running_7/ioclk/,Successful
uncore_iio_free_running_8/ioclk/,Successful
uncore_iio_free_running_9/ioclk/,Successful
uncore_imc_0/clockticks/,Successful
uncore_imc_1/clockticks/,Successful
uncore_imc_2/clockticks/,Successful
uncore_imc_3/clockticks/,Successful
uncore_imc_4/clockticks/,Successful
uncore_imc_5/clockticks/,Successful
uncore_imc_6/clockticks/,Successful
uncore_imc_7/clockticks/,Successful
uncore_imc_free_running_0/dclk/,Successful
uncore_imc_free_running_0/rpq_cycles/,Successful
uncore_imc_free_running_0/wpq_cycles/,Successful
uncore_imc_free_running_1/dclk/,Successful
uncore_imc_free_running_1/rpq_cycles/,Successful
uncore_imc_free_running_1/wpq_cycles/,Successful
uncore_imc_free_running_2/dclk/,Successful
uncore_imc_free_running_2/rpq_cycles/,Successful
uncore_imc_free_running_2/wpq_cycles/,Successful
uncore_imc_free_running_3/dclk/,Successful
uncore_imc_free_running_3/rpq_cycles/,Successful
uncore_imc_free_running_3/wpq_cycles/,Successful
l1d.hwpf_miss,Successful
l1d.replacement,Successful
l1d_pend_miss.fb_full,Successful
l1d_pend_miss.fb_full_periods,Successful
l1d_pend_miss.l2_stall,Successful
l1d_pend_miss.l2_stalls,Successful
l1d_pend_miss.pending,Successful
l1d_pend_miss.pending_cycles,Successful
l2_lines_in.all,Successful
l2_lines_out.non_silent,Successful
l2_lines_out.silent,Successful
l2_lines_out.useless_hwpf,Successful
l2_request.all,Successful
l2_request.miss,Successful
l2_rqsts.all_code_rd,Successful
l2_rqsts.all_demand_data_rd,Successful
l2_rqsts.all_demand_miss,Successful
l2_rqsts.all_demand_references,Successful
l2_rqsts.all_hwpf,Successful
l2_rqsts.all_rfo,Successful
l2_rqsts.code_rd_hit,Successful
l2_rqsts.code_rd_miss,Successful
l2_rqsts.demand_data_rd_hit,Successful
l2_rqsts.demand_data_rd_miss,Successful
l2_rqsts.hwpf_miss,Successful
l2_rqsts.miss,Successful
l2_rqsts.references,Successful
l2_rqsts.rfo_hit,Successful
l2_rqsts.rfo_miss,Successful
l2_rqsts.swpf_hit,Successful
longest_lat_cache.miss,Successful
longest_lat_cache.reference,Successful
mem_inst_retired.all_loads,Successful
mem_inst_retired.all_stores,Successful
mem_inst_retired.any,Successful
mem_inst_retired.lock_loads,Successful
mem_inst_retired.split_loads,Successful
mem_inst_retired.split_stores,Successful
mem_inst_retired.stlb_miss_loads,Successful
mem_inst_retired.stlb_miss_stores,Successful
mem_load_completed.l1_miss_any,Successful
mem_load_l3_hit_retired.xsnp_fwd,Successful
mem_load_l3_hit_retired.xsnp_miss,Successful
mem_load_l3_hit_retired.xsnp_no_fwd,Successful
mem_load_l3_hit_retired.xsnp_none,Successful
mem_load_l3_miss_retired.local_dram,Successful
mem_load_misc_retired.uc,Successful
mem_load_retired.fb_hit,Successful
mem_load_retired.l1_hit,Successful
mem_load_retired.l1_miss,Successful
mem_load_retired.l2_hit,Successful
mem_load_retired.l2_miss,Successful
mem_load_retired.l3_hit,Successful
mem_load_retired.l3_miss,Successful
mem_store_retired.l2_hit,Successful
mem_uop_retired.any,Successful
ocr.demand_code_rd.l3_hit,Successful
ocr.demand_data_rd.l3_hit,Successful
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd,Successful
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd,Successful
ocr.demand_data_rd.l3_hit.snoop_hitm,Successful
ocr.demand_rfo.l3_hit,Successful
ocr.demand_rfo.l3_hit.snoop_hitm,Successful
ocr.reads_to_core.l3_hit,Successful
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd,Successful
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd,Successful
ocr.reads_to_core.l3_hit.snoop_hitm,Successful
ocr.rfo_to_core.l3_hit_m,Successful
offcore_requests.all_requests,Successful
offcore_requests_outstanding.all_data_rd,Successful
offcore_requests_outstanding.cycles_with_demand_data_rd,Successful
offcore_requests_outstanding.cycles_with_demand_rfo,Successful
offcore_requests_outstanding.demand_data_rd,Successful
sw_prefetch_access.prefetchw,Successful
sw_prefetch_access.t0,Successful
arith.fpdiv_active,Successful
fp_arith_dispatched.port_0,Successful
fp_arith_dispatched.port_1,Successful
fp_arith_dispatched.port_5,Successful
fp_arith_dispatched.v0,Successful
fp_arith_dispatched.v1,Successful
fp_arith_dispatched.v2,Successful
fp_arith_inst_retired.128b_packed_double,Successful
fp_arith_inst_retired.scalar,Successful
fp_arith_inst_retired.scalar_double,Successful
fp_arith_inst_retired.vector,Successful
baclears.any,Successful
decode.lcp,Successful
decode.ms_busy,Successful
dsb2mite_switches.penalty_cycles,Successful
frontend_retired.any_dsb_miss,Successful
frontend_retired.dsb_miss,Successful
frontend_retired.itlb_miss,Successful
frontend_retired.l1i_miss,Successful
frontend_retired.l2_miss,Successful
frontend_retired.latency_ge_1,Successful
frontend_retired.latency_ge_128,Successful
frontend_retired.latency_ge_16,Successful
frontend_retired.latency_ge_2,Successful
frontend_retired.latency_ge_256,Successful
frontend_retired.latency_ge_2_bubbles_ge_1,Successful
frontend_retired.latency_ge_32,Successful
frontend_retired.latency_ge_4,Successful
frontend_retired.latency_ge_512,Successful
frontend_retired.latency_ge_64,Successful
frontend_retired.latency_ge_8,Successful
frontend_retired.ms_flows,Successful
frontend_retired.stlb_miss,Successful
icache_data.stalls,Successful
icache_tag.stalls,Successful
idq.dsb_cycles_any,Successful
idq.dsb_cycles_ok,Successful
idq.dsb_uops,Successful
idq.mite_cycles_any,Successful
idq.mite_cycles_ok,Successful
idq.mite_uops,Successful
idq.ms_cycles_any,Successful
idq.ms_switches,Successful
idq.ms_uops,Successful
