Event Name,Status
branch-instructions,Successful
branch-misses,Successful
bus-cycles,Successful
cpu-cycles,Successful
instructions,Successful
ref-cycles,Successful
slots,Successful
msr/tsc/,Successful
br_inst_retired.all_branches,Successful
br_misp_retired.all_branches,Successful
cpu_clk_unhalted.ref_tsc,Successful
cpu_clk_unhalted.ref_tsc_p,Successful
cpu_clk_unhalted.thread,Successful
cpu_clk_unhalted.thread_p,Successful
inst_retired.any,Successful
inst_retired.any_p,Successful
inst_retired.prec_dist,Successful
topdown.slots,Successful
topdown.slots_p,Successful
duration_time,Successful
num_cores,Successful
num_cpus,Successful
num_cpus_online,Successful
num_dies,Successful
num_packages,Successful
smt_on,Successful
system_time,Successful
system_tsc_freq,Successful
user_time,Successful
L1-dcache-loads,Zero value
L1-dcache-load-misses,Zero value
L1-dcache-stores,Zero value
L1-icache-load-misses,Zero value
dTLB-loads,Zero value
dTLB-load-misses,Zero value
dTLB-stores,Zero value
dTLB-store-misses,Zero value
iTLB-load-misses,Zero value
branch-loads,Zero value
branch-load-misses,Zero value
cycles-ct,Zero value
cycles-t,Zero value
tx-abort,Zero value
tx-capacity-read,Zero value
tx-capacity-write,Zero value
tx-commit,Zero value
tx-conflict,Zero value
tx-start,Zero value
msr/smi/,Zero value
l1d.hwpf_miss,Zero value
l1d.replacement,Zero value
l1d_pend_miss.fb_full,Zero value
l1d_pend_miss.fb_full_periods,Zero value
l1d_pend_miss.l2_stall,Zero value
l1d_pend_miss.l2_stalls,Zero value
l1d_pend_miss.pending,Zero value
l1d_pend_miss.pending_cycles,Zero value
l2_lines_in.all,Zero value
l2_lines_out.non_silent,Zero value
l2_lines_out.silent,Zero value
l2_lines_out.useless_hwpf,Zero value
l2_request.all,Zero value
l2_request.miss,Zero value
l2_rqsts.all_code_rd,Zero value
l2_rqsts.all_demand_data_rd,Zero value
l2_rqsts.all_demand_miss,Zero value
l2_rqsts.all_demand_references,Zero value
l2_rqsts.all_hwpf,Zero value
l2_rqsts.all_rfo,Zero value
l2_rqsts.code_rd_hit,Zero value
l2_rqsts.code_rd_miss,Zero value
l2_rqsts.demand_data_rd_hit,Zero value
l2_rqsts.demand_data_rd_miss,Zero value
l2_rqsts.hwpf_miss,Zero value
l2_rqsts.miss,Zero value
l2_rqsts.references,Zero value
l2_rqsts.rfo_hit,Zero value
l2_rqsts.rfo_miss,Zero value
l2_rqsts.swpf_hit,Zero value
l2_rqsts.swpf_miss,Zero value
l2_trans.l2_wb,Zero value
longest_lat_cache.miss,Zero value
longest_lat_cache.reference,Zero value
mem_inst_retired.all_loads,Zero value
mem_inst_retired.all_stores,Zero value
mem_inst_retired.any,Zero value
mem_inst_retired.lock_loads,Zero value
mem_inst_retired.split_loads,Zero value
mem_inst_retired.split_stores,Zero value
mem_inst_retired.stlb_miss_loads,Zero value
mem_inst_retired.stlb_miss_stores,Zero value
mem_load_completed.l1_miss_any,Zero value
mem_load_l3_hit_retired.xsnp_fwd,Zero value
mem_load_l3_hit_retired.xsnp_miss,Zero value
mem_load_l3_hit_retired.xsnp_no_fwd,Zero value
mem_load_l3_hit_retired.xsnp_none,Zero value
mem_load_l3_miss_retired.local_dram,Zero value
mem_load_l3_miss_retired.remote_dram,Zero value
mem_load_l3_miss_retired.remote_fwd,Zero value
mem_load_l3_miss_retired.remote_hitm,Zero value
mem_load_misc_retired.uc,Zero value
mem_load_retired.fb_hit,Zero value
mem_load_retired.l1_hit,Zero value
mem_load_retired.l1_miss,Zero value
mem_load_retired.l2_hit,Zero value
mem_load_retired.l2_miss,Zero value
mem_load_retired.l3_hit,Zero value
mem_load_retired.l3_miss,Zero value
mem_store_retired.l2_hit,Zero value
mem_uop_retired.any,Zero value
offcore_requests.all_requests,Zero value
offcore_requests.data_rd,Zero value
offcore_requests.demand_code_rd,Zero value
offcore_requests.demand_data_rd,Zero value
offcore_requests.demand_rfo,Zero value
offcore_requests_outstanding.all_data_rd,Zero value
offcore_requests_outstanding.cycles_with_data_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_code_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_data_rd,Zero value
offcore_requests_outstanding.cycles_with_demand_rfo,Zero value
offcore_requests_outstanding.data_rd,Zero value
offcore_requests_outstanding.demand_code_rd,Zero value
offcore_requests_outstanding.demand_data_rd,Zero value
sq_misc.bus_lock,Zero value
sw_prefetch_access.any,Zero value
sw_prefetch_access.nta,Zero value
sw_prefetch_access.prefetchw,Zero value
sw_prefetch_access.t0,Zero value
sw_prefetch_access.t1_t2,Zero value
arith.fpdiv_active,Zero value
assists.fp,Zero value
assists.sse_avx_mix,Zero value
fp_arith_dispatched.port_0,Zero value
fp_arith_dispatched.port_1,Zero value
fp_arith_dispatched.port_5,Zero value
fp_arith_dispatched.v0,Zero value
fp_arith_dispatched.v1,Zero value
fp_arith_dispatched.v2,Zero value
fp_arith_inst_retired.128b_packed_double,Zero value
fp_arith_inst_retired.128b_packed_single,Zero value
fp_arith_inst_retired.256b_packed_double,Zero value
fp_arith_inst_retired.256b_packed_single,Zero value
fp_arith_inst_retired.4_flops,Zero value
fp_arith_inst_retired.512b_packed_double,Zero value
fp_arith_inst_retired.512b_packed_single,Zero value
fp_arith_inst_retired.8_flops,Zero value
fp_arith_inst_retired.scalar,Zero value
fp_arith_inst_retired.scalar_double,Zero value
fp_arith_inst_retired.scalar_single,Zero value
fp_arith_inst_retired.vector,Zero value
fp_arith_inst_retired2.128b_packed_half,Zero value
fp_arith_inst_retired2.256b_packed_half,Zero value
fp_arith_inst_retired2.512b_packed_half,Zero value
fp_arith_inst_retired2.complex_scalar_half,Zero value
fp_arith_inst_retired2.scalar,Zero value
fp_arith_inst_retired2.scalar_half,Zero value
fp_arith_inst_retired2.vector,Zero value
baclears.any,Zero value
decode.lcp,Zero value
decode.ms_busy,Zero value
dsb2mite_switches.penalty_cycles,Zero value
icache_data.stall_periods,Zero value
icache_data.stalls,Zero value
icache_tag.stalls,Zero value
idq.dsb_cycles_any,Zero value
idq.dsb_cycles_ok,Zero value
idq.dsb_uops,Zero value
idq.mite_cycles_any,Zero value
idq.mite_cycles_ok,Zero value
idq.mite_uops,Zero value
idq.ms_cycles_any,Zero value
idq.ms_switches,Zero value
idq.ms_uops,Zero value
idq_bubbles.core,Zero value
idq_bubbles.cycles_0_uops_deliv.core,Zero value
idq_bubbles.cycles_fe_was_ok,Zero value
idq_uops_not_delivered.core,Zero value
idq_uops_not_delivered.cycles_0_uops_deliv.core,Zero value
idq_uops_not_delivered.cycles_fe_was_ok,Zero value
cycle_activity.stalls_l3_miss,Zero value
machine_clears.memory_ordering,Zero value
mem_trans_retired.store_sample,Zero value
