Metric Name,Status
tma_core_bound,Successful
tma_info_memory_l2mpki,Successful
tma_memory_bound,Successful
tma_info_bad_spec_ipmispredict,Successful
tma_info_branches_callret,Successful
tma_info_branches_cond_nt,Successful
tma_info_branches_cond_tk,Successful
tma_info_branches_jump,Successful
tma_info_branches_other_branches,Successful
tma_branch_mispredicts,Successful
tma_info_bad_spec_spec_clears_ratio,Successful
tma_info_frontend_tbpc,Successful
tma_info_inst_mix_ipbranch,Successful
tma_non_fused_branches,Successful
tma_bottleneck_branching_overhead,Successful
tma_frontend_bound,Successful
tma_backend_bound,Successful
tma_retiring,Successful
tma_info_system_c0_wait,Successful
tma_info_memory_fb_hpki,Successful
tma_info_memory_l1mpki,Successful
tma_info_memory_l1mpki_load,Successful
tma_info_memory_l2hpki_all,Successful
tma_info_memory_l2hpki_load,Successful
tma_info_memory_l2mpki_all,Successful
tma_info_memory_l2mpki_load,Successful
tma_info_memory_l2mpki_rfo,Successful
tma_info_botlnk_l0_core_bound_likely,Successful
tma_info_system_gflops,Successful
tma_bad_speculation,Successful
tma_fetch_bandwidth,Successful
tma_fetch_latency,Successful
tma_heavy_operations,Successful
tma_light_operations,Successful
tma_info_memory_tlb_code_stlb_mpki,Successful
tma_info_system_cpu_utilization,Successful
cpu_utilization,Successful
tma_info_frontend_l2mpki_code_all,Successful
tma_info_memory_core_l2_evictions_nonsilent_pki,Successful
tma_info_memory_core_l2_evictions_silent_pki,Successful
tma_info_memory_core_l1d_cache_fill_bw_2t,Successful
tma_info_memory_core_l2_cache_fill_bw_2t,Successful
tma_info_memory_core_l3_cache_access_bw_2t,Successful
tma_info_memory_core_l3_cache_fill_bw_2t,Successful
tma_info_memory_l1d_cache_fill_bw,Successful
tma_info_memory_l2_cache_fill_bw,Successful
tma_info_memory_l3_cache_access_bw,Successful
tma_info_memory_l3_cache_fill_bw,Successful
tma_info_memory_l3mpki,Successful
tma_info_memory_mix_bus_lock_pki,Successful
tma_info_memory_mix_uc_load_pki,Successful
tma_info_memory_tlb_load_stlb_mpki,Successful
tma_info_memory_tlb_store_stlb_mpki,Successful
tma_info_thread_cpi,Successful
cpi,Successful
tma_info_system_kernel_cpi,Successful
tma_info_system_kernel_utilization,Successful
tma_info_thread_clks,Successful
tma_info_thread_uoppi,Successful
tma_info_core_epc,Successful
tma_info_system_core_frequency,Successful
tma_info_system_turbo_utilization,Successful
tma_info_thread_ipc,Successful
tma_info_core_core_clks,Successful
tma_info_thread_slots_utilization,Successful
tma_info_inst_mix_instructions,Successful
tma_info_system_cpus_utilized,Successful
tma_info_system_mux,Successful
tma_info_system_time,Successful
tma_info_thread_slots,Successful
cpu_operating_frequency,Successful
tma_machine_clears,Zero value
tma_icache_misses,Zero value
tma_itlb_misses,Zero value
tma_other_mispredicts,Zero value
tma_fused_instructions,Zero value
tma_nop_instructions,Zero value
tma_divider,Zero value
tma_ports_utilized_3m,Zero value
tma_other_nukes,Zero value
tma_serializing_operation,Zero value
tma_fb_full,Zero value
tma_mem_bandwidth,Zero value
tma_sq_full,Zero value
tma_l1_latency_dependency,Zero value
tma_l2_bound,Zero value
tma_mem_latency,Zero value
tma_dtlb_load,Zero value
tma_c01_wait,Zero value
tma_c02_wait,Zero value
tma_l1_bound,Zero value
tma_l3_bound,Zero value
tma_fp_scalar,Zero value
tma_fp_vector,Zero value
tma_fp_vector_128b,Zero value
tma_fp_vector_256b,Zero value
tma_fp_vector_512b,Zero value
tma_int_vector_128b,Zero value
tma_int_vector_256b,Zero value
tma_dsb_switches,Zero value
tma_code_l2_hit,Zero value
tma_code_l2_miss,Zero value
tma_code_stlb_hit,Zero value
tma_code_stlb_miss,Zero value
tma_lcp,Zero value
tma_avx_assists,Zero value
tma_fp_assists,Zero value
tma_shuffles_256b,Zero value
tma_mba_stalls,Zero value
tma_dram_bound,Zero value
tma_store_bound,Zero value
tma_load_stlb_hit,Zero value
tma_load_stlb_miss,Zero value
tma_int_operations,Zero value
tma_memory_operations,Zero value
tma_ports_utilization,Zero value
tma_ports_utilized_0,Zero value
tma_ports_utilized_1,Zero value
tma_ports_utilized_2,Zero value
tma_fp_divider,Zero value
tma_int_divider,Zero value
tma_memory_fence,Zero value
tma_slow_pause,Zero value
tma_store_fwd_blk,Zero value
tma_mixing_vectors,Zero value
tma_page_faults,Zero value
dtlb_2nd_level_2mb_large_page_load_mpi,Zero value
dtlb_2nd_level_load_mpi,Zero value
dtlb_2nd_level_store_mpi,Zero value
itlb_2nd_level_large_page_mpi,Zero value
itlb_2nd_level_mpi,Zero value
l1_i_code_read_misses_with_prefetches_per_instr,Zero value
l1d_demand_data_read_hits_per_instr,Zero value
l1d_mpi,Zero value
l2_demand_code_mpi,Zero value
l2_demand_data_read_hits_per_instr,Zero value
l2_demand_data_read_mpi,Zero value
l2_mpi,Zero value
loads_per_instr,Zero value
smi_num,Zero value
stores_per_instr,Zero value
tma_info_core_ilp,NaN value
