Event Name,Status
branch-instructions,Successful
branch-misses,Successful
bus-cycles,Successful
cpu-cycles,Successful
instructions,Successful
ref-cycles,Successful
L1-dcache-loads,Successful
L1-dcache-load-misses,Successful
L1-dcache-stores,Successful
L1-icache-load-misses,Successful
dTLB-loads,Successful
dTLB-load-misses,Successful
dTLB-stores,Successful
dTLB-store-misses,Successful
iTLB-load-misses,Successful
mem-loads-aux,Successful
msr/aperf/,Successful
msr/mperf/,Successful
msr/tsc/,Successful
l1d.hwpf_miss,Successful
l1d.replacement,Successful
l1d_pend_miss.fb_full,Successful
l1d_pend_miss.fb_full_periods,Successful
l1d_pend_miss.l2_stall,Successful
l1d_pend_miss.l2_stalls,Successful
l1d_pend_miss.pending,Successful
l1d_pend_miss.pending_cycles,Successful
l2_lines_in.all,Successful
l2_lines_out.non_silent,Successful
l2_lines_out.silent,Successful
l2_lines_out.useless_hwpf,Successful
l2_request.all,Successful
l2_request.miss,Successful
l2_rqsts.all_code_rd,Successful
l2_rqsts.all_demand_data_rd,Successful
l2_rqsts.all_demand_miss,Successful
l2_rqsts.all_demand_references,Successful
l2_rqsts.all_rfo,Successful
l2_rqsts.code_rd_hit,Successful
l2_rqsts.code_rd_miss,Successful
l2_rqsts.demand_data_rd_hit,Successful
l2_rqsts.demand_data_rd_miss,Successful
l2_rqsts.hwpf_miss,Successful
l2_rqsts.miss,Successful
l2_rqsts.references,Successful
l2_rqsts.rfo_hit,Successful
l2_rqsts.rfo_miss,Successful
l2_rqsts.swpf_hit,Successful
l2_rqsts.swpf_miss,Successful
l2_trans.l2_wb,Successful
mem_inst_retired.all_loads,Successful
mem_inst_retired.all_stores,Successful
mem_inst_retired.any,Successful
mem_inst_retired.lock_loads,Successful
mem_inst_retired.split_loads,Successful
mem_inst_retired.split_stores,Successful
mem_inst_retired.stlb_miss_loads,Successful
mem_inst_retired.stlb_miss_stores,Successful
mem_load_completed.l1_miss_any,Successful
mem_load_retired.fb_hit,Successful
mem_load_retired.l1_hit,Successful
mem_load_retired.l1_miss,Successful
mem_load_retired.l2_hit,Successful
mem_load_retired.l2_miss,Successful
mem_store_retired.l2_hit,Successful
mem_uop_retired.any,Successful
sw_prefetch_access.any,Successful
sw_prefetch_access.prefetchw,Successful
sw_prefetch_access.t0,Successful
arith.fpdiv_active,Successful
fp_arith_dispatched.port_0,Successful
fp_arith_dispatched.port_1,Successful
fp_arith_dispatched.port_5,Successful
fp_arith_dispatched.v0,Successful
fp_arith_dispatched.v1,Successful
fp_arith_dispatched.v2,Successful
fp_arith_inst_retired.128b_packed_double,Successful
fp_arith_inst_retired.scalar,Successful
fp_arith_inst_retired.scalar_double,Successful
fp_arith_inst_retired.vector,Successful
baclears.any,Successful
decode.lcp,Successful
decode.ms_busy,Successful
dsb2mite_switches.penalty_cycles,Successful
icache_data.stall_periods,Successful
icache_data.stalls,Successful
icache_tag.stalls,Successful
idq.dsb_cycles_any,Successful
idq.dsb_cycles_ok,Successful
idq.dsb_uops,Successful
idq.mite_cycles_any,Successful
idq.mite_cycles_ok,Successful
idq.mite_uops,Successful
idq.ms_cycles_any,Successful
idq.ms_switches,Successful
idq.ms_uops,Successful
idq_bubbles.core,Successful
idq_bubbles.cycles_0_uops_deliv.core,Successful
idq_bubbles.cycles_fe_was_ok,Successful
idq_uops_not_delivered.core,Successful
idq_uops_not_delivered.cycles_0_uops_deliv.core,Successful
idq_uops_not_delivered.cycles_fe_was_ok,Successful
machine_clears.memory_ordering,Successful
mem_trans_retired.store_sample,Successful
memory_activity.cycles_l1d_miss,Successful
memory_activity.stalls_l1d_miss,Successful
memory_activity.stalls_l2_miss,Successful
assists.page_fault,Successful
rs.empty,Successful
rs.empty_count,Successful
rs.empty_resource,Successful
rs_empty.count,Successful
rs_empty.cycles,Successful
arith.div_active,Successful
arith.divider_active,Successful
arith.fp_divider_active,Successful
arith.idiv_active,Successful
arith.int_divider_active,Successful
assists.any,Successful
br_inst_retired.all_branches,Successful
br_inst_retired.cond,Successful
br_inst_retired.cond_ntaken,Successful
br_inst_retired.cond_taken,Successful
br_inst_retired.far_branch,Successful
br_inst_retired.indirect,Successful
br_inst_retired.near_call,Successful
br_inst_retired.near_return,Successful
br_inst_retired.near_taken,Successful
br_misp_retired.all_branches,Successful
br_misp_retired.cond,Successful
br_misp_retired.cond_ntaken,Successful
br_misp_retired.cond_taken,Successful
br_misp_retired.indirect,Successful
br_misp_retired.indirect_call,Successful
br_misp_retired.near_taken,Successful
br_misp_retired.ret,Successful
cpu_clk_unhalted.c0_wait,Successful
cpu_clk_unhalted.distributed,Successful
cpu_clk_unhalted.one_thread_active,Successful
cpu_clk_unhalted.pause,Successful
cpu_clk_unhalted.pause_inst,Successful
cpu_clk_unhalted.ref_distributed,Successful
cpu_clk_unhalted.ref_tsc,Successful
cpu_clk_unhalted.ref_tsc_p,Successful
cpu_clk_unhalted.thread,Successful
cpu_clk_unhalted.thread_p,Successful
cycle_activity.cycles_l1d_miss,Successful
cycle_activity.cycles_l2_miss,Successful
cycle_activity.cycles_mem_any,Successful
cycle_activity.stalls_l1d_miss,Successful
cycle_activity.stalls_l2_miss,Successful
cycle_activity.stalls_total,Successful
exe_activity.1_ports_util,Successful
exe_activity.2_3_ports_util,Successful
exe_activity.2_ports_util,Successful
exe_activity.3_ports_util,Successful
exe_activity.4_ports_util,Successful
exe_activity.bound_on_stores,Successful
exe_activity.exe_bound_0_ports,Successful
inst_decoded.decoders,Successful
inst_retired.any,Successful
inst_retired.any_p,Successful
inst_retired.macro_fused,Successful
inst_retired.nop,Successful
inst_retired.prec_dist,Successful
inst_retired.rep_iteration,Successful
int_misc.clear_resteer_cycles,Successful
int_misc.clears_count,Successful
int_misc.recovery_cycles,Successful
int_misc.uop_dropping,Successful
int_vec_retired.128bit,Successful
int_vec_retired.256bit,Successful
int_vec_retired.add_128,Successful
int_vec_retired.add_256,Successful
int_vec_retired.shuffles,Successful
ld_blocks.address_alias,Successful
ld_blocks.no_sr,Successful
ld_blocks.store_forward,Successful
load_hit_prefetch.swpf,Successful
machine_clears.count,Successful
machine_clears.smc,Successful
misc2_retired.lfence,Successful
resource_stalls.sb,Successful
resource_stalls.scoreboard,Successful
topdown.backend_bound_slots,Successful
topdown.bad_spec_slots,Successful
topdown.br_mispredict_slots,Successful
topdown.memory_bound_slots,Successful
topdown.slots_p,Successful
uops_decoded.dec0_uops,Successful
uops_dispatched.port_0,Successful
uops_dispatched.port_1,Successful
uops_dispatched.port_2_3_10,Successful
uops_dispatched.port_4_9,Successful
uops_dispatched.port_5_11,Successful
uops_dispatched.port_6,Successful
uops_dispatched.port_7_8,Successful
uops_executed.core,Successful
